country,outflow1990,outflow1995,outflow2000,outflow2005,outflow2010,outflow2015
Macedonia,429555.0,490666.0,530865.0,461088.0,479615.0,516020.0
Turkmenistan,259988.0,243506.0,224557.0,230421.0,238575.0,242944.0
Ukraine,5549449.0,5613665.0,5607466.0,5592526.0,5497094.0,5825744.0
United Arab Emirates,79540.0,97937.0,110945.0,104870.0,121530.0,136557.0
Uzbekistan,1429960.0,1545721.0,1606869.0,1762161.0,1913219.0,1991030.0
Venezuela,185888.0,240494.0,317322.0,433716.0,550424.0,606339.0
Luxembourg,27828.0,29792.0,32205.0,46460.0,57589.0,61058.0
Barbados,84917.0,88333.0,94115.0,92114.0,92135.0,98464.0
Bermuda,71703.0,42330.0,13873.0,14693.0,15996.0,17046.0
Bolivia,224683.0,281733.0,342850.0,542685.0,779033.0,799612.0
Brunei Darussalam,3094.0,4242.0,5430.0,5869.0,4519.0,4624.0
Fiji,90156.0,105714.0,131130.0,155666.0,182266.0,204934.0
Guyana,233662.0,290544.0,358039.0,386964.0,423694.0,460288.0
Iceland,17635.0,21311.0,26077.0,28803.0,33607.0,38496.0
Jamaica,588822.0,705010.0,844606.0,889367.0,960461.0,1067461.0
Lao People's Democratic Republic,482098.0,536910.0,643221.0,889185.0,1187506.0,1345079.0
Latvia,215165.0,228929.0,238830.0,273069.0,311107.0,337678.0
Lithuania,341082.0,344264.0,350501.0,417023.0,493030.0,544119.0
Malta,110735.0,109535.0,104661.0,100120.0,97887.0,103392.0
Nauru,1431.0,1518.0,1583.0,1898.0,2160.0,2391.0
Nicaragua,442036.0,431848.0,496563.0,429948.0,598195.0,638961.0
Niue,5860.0,5575.0,5764.0,5304.0,5351.0,5355.0
Northern Mariana Islands,2525.0,2655.0,2772.0,2730.0,2617.0,2649.0
Panama,134703.0,130157.0,134705.0,128896.0,134753.0,142704.0
Papua New Guinea,3015.0,4122.0,4460.0,4310.0,4302.0,4631.0
Paraguay,297922.0,335656.0,374505.0,544739.0,764254.0,845369.0
Peru,313596.0,501264.0,691469.0,977464.0,1312898.0,1409689.0
Saint Helena,903.0,2390.0,4051.0,3527.0,3409.0,3958.0
Saint Kitts and Nevis,20714.0,25669.0,31121.0,33520.0,35945.0,39132.0
Serbia,708804.0,921143.0,1132822.0,957627.0,875962.0,964586.0
Trinidad and Tobago,197522.0,246043.0,302804.0,316887.0,339231.0,363334.0
Uruguay,237262.0,233022.0,234868.0,296412.0,332363.0,346977.0
Vietnam,1235351.0,1526900.0,1849379.0,2061650.0,2306693.0,2558716.0
Timor-Leste,11299.0,79837.0,148381.0,94532.0,34761.0,37311.0
United States Virgin Islands,2362.0,3153.0,4007.0,3803.0,3287.0,3407.0
Georgia,920443.0,953984.0,967807.0,886966.0,810204.0,838429.0
Canada,354605.0,406382.0,454941.0,668452.0,943307.0,1187141.0
Aruba,10597.0,10650.0,10911.0,12912.0,14120.0,16724.0
Costa Rica,69724.0,83549.0,103973.0,116365.0,128869.0,133185.0
Guam,1400.0,2069.0,2840.0,2684.0,2171.0,2144.0
