countryName,Country Code,population1990,population1995,population2000,population2005,population2010,population2015
Mexico,MEX,85357874,94045579,101719673,108472228,117318941,125890949
Marshall Islands,MHL,47298,51015,52159,52055,52425,52994
Middle income,MIC,3964846386,4302049350,4622449337,4921339717,5221137561,5530431984
Macedonia,MKD,1996228,1983252,2034819,2060272,2070739,2079308
Mali,MLI,8465188,9604450,10967690,12798763,15075085,17467905
Malta,MLT,354170,377419,390087,403834,414508,431874
Myanmar,MMR,40626250,43237792,46095462,48482614,50155896,52403669
Middle East & North Africa (excluding high income),MNA,227903820,254918217,280955290,306595214,335581557,367449306
Montenegro,MNE,606372,611712,604950,614261,619428,622159
Mongolia,MNG,2184145,2298039,2397436,2526446,2712650,2976877
Northern Mariana Islands,MNP,42538,56278,69094,63744,54424,54816
Mozambique,MOZ,13247649,15759132,18067687,20923070,24221405,28010691
Mauritania,MRT,2030140,2327075,2709359,3130720,3609543,4182341
Mauritius,MUS,1058775,1122457,1186873,1228254,1250400,1262605
Malawi,MWI,9437553,9909088,11376172,13039711,15167095,17573607
Malaysia,MYS,18038321,20495597,23185608,25659393,28112289,30723155
North America,NAC,277473326,295691746,312993944,327892753,343418591,356810463
Namibia,NAM,1414692,1655359,1899257,2032196,2173170,2425561
New Caledonia,NCL,170899,193816,213230,231000,250000,273000
Niger,NER,8012861,9477333,11352973,13618449,16425578,19896965
Nigeria,NGA,95269988,108011465,122352009,138939478,158578261,181181744
Nicaragua,NIC,4144565,4612228,5026796,5379328,5737723,6082035
Netherlands,NLD,14951510,15459006,15925513,16319868,16615394,16939923
Norway,NOR,4241473,4359184,4490967,4623291,4889252,5188607
Nepal,NPL,18749406,21396384,23740911,25640287,27023137,28656282
Nauru,NRU,9157,9970,10042,10115,10025,12475
New Zealand,NZL,3329800,3673400,3857700,4133900,4350700,4595700
OECD members,OED,1069095267,1115600406,1156568670,1198065132,1242391523,1281401703
Oman,OMN,1812160,2204283,2267991,2511269,3041460,4199810
Other small states,OSS,17465684,19150245,20944988,23114953,26269542,29374084
Pakistan,PAK,107678614,122829148,138523285,153909667,170560182,189380513
Panama,PAN,2471009,2739730,3030347,3330465,3643222,3969249
Peru,PER,21826658,24038760,25914879,27610410,29373646,31376671
Philippines,PHL,61947348,69835715,77991569,86274237,93726624,101716359
Palau,PLW,15088,17253,19175,19906,20470,21288
Papua New Guinea,PNG,4313059,4894276,5572222,6314709,7108239,7919825
Poland,POL,38110782,38594998,38258629,38165445,38042794,37986412
Pre-demographic dividend,PRE,417158756,483495980,554097477,639876871,739082260,854646007
Puerto Rico,PRI,3537000,3683103,3810605,3821362,3721525,3473181
Democratic People's Republic of Korea,PRK,20293054,21862299,22929075,23904167,24591599,25243917
Portugal,PRT,9983218,10026176,10289898,10503330,10573100,10358076
Paraguay,PRY,4213742,4760850,5302700,5795494,6209877,6639119
West Bank and Gaza,PSE,1978248,2474666,2922153,3320396,3811102,4422143
Pacific island small states,PSS,1694410,1841945,1964221,2072666,2214096,2358955
Post-demographic dividend,PST,964601905,995414349,1020591851,1046610825,1075140985,1097570905
French Polynesia,PYF,198375,215196,237258,254886,267820,277690
Qatar,QAT,476445,513455,592267,864863,1779676,2481539
Romania,ROU,23201835,22684270,22442971,21319685,20246871,19815481
Russia,RUS,148292000,148375726,146596557,143518523,142849449,144096870
Rwanda,RWA,7235798,5928078,8025703,8991735,10246842,11629553
South Asia,SAS,1132832536,1259358616,1386504523,1512521166,1630729920,1744190704
Saudi Arabia,SAU,16326815,18735841,20764312,23905654,27425676,31557144
Sudan,SDN,20147590,24102986,27250535,30911914,34385963,38647803
Senegal,SEN,7555617,8746606,9884052,11251266,12916229,14976994
Singapore,SGP,3047132,3524506,4027887,4265762,5076732,5535002
Solomon Islands,SLB,311840,359225,412609,469885,527790,587482
Sierra Leone,SLE,4312246,4274819,4564297,5658379,6458720,7237025
El Salvador,SLV,5254984,5611115,5867626,6028961,6164626,6312478
San Marino,SMR,24043,25877,27418,29240,31110,32960
Somalia,SOM,7397347,7704894,9011479,10409925,12053223,13908129
Serbia,SRB,7586000,7625357,7516346,7440769,7291436,7095383
Sub-Saharan Africa (excluding high income),SSA,511340559,586732965,669737048,764783733.2,876933366.4,1005477382
South Sudan,SSD,5768481,5459519,6700656,8108877,10067192,11882136
Sub-Saharan Africa,SSF,511410066,586808269,669818179,764866591.2,877023136.4,1005570801
Small states,SST,25181708,27285017,29439900,31949551,35467734,38937987
Sao Tome and Principe,STP,113893,126454,138606,155630,174776,195553
Suriname,SUR,407472,443724,472390,498946,526103,553208
Slovakia,SVK,5299187,5361999,5388720,5372807,5391428,5423801
Slovenia,SVN,1998161,1989872,1988925,2000474,2048583,2063531
Sweden,SWE,8558835,8826939,8872109,9029572,9378126,9799186
Swaziland,SWZ,861373,960792,1061468,1105873,1202843,1319011
Sint Maarten (Dutch part),SXM,0,0,30519,36934,35474,38824
Seychelles,SYC,69507,75304,81131,82858,89770,93419
Syria,SYR,12446171,14345492,16410848,18294611,21018834,18734987
Turks and Caicos Islands,TCA,11552,15332,18873,26448,30994,34339
Chad,TCD,5956859,7000722,8342559,10067009,11887202,14009413
East Asia & Pacific (IDA & IBRD countries),TEA,1582008622,1692280431,1790334133,1869631076,1940064830,2011274432
Europe & Central Asia (IDA & IBRD countries),TEC,428318228,434648577,435342598,435634937,441513488,452962149
Togo,TGO,3786940,4274024,4970367,5683268,6502952,7416802
Thailand,THA,56582821,59491790,62958021,65425470,67208808,68657600
Tajikistan,TJK,5283728,5764712,6216205,6854176,7641630,8548651
Turkmenistan,TKM,3683966,4207840,4516131,4754641,5087210,5565284
Latin America & the Caribbean (IDA & IBRD countries),TLA,430014112,470347459,508826710,544459791,580246796,614891969
Timor-Leste,TLS,751933,871447,871607,1026484,1109591,1240977
Middle East & North Africa (IDA & IBRD countries),TMN,225925572,252443551,278033137,303274818,331770455,363027163
Tonga,TON,95153,96076,98082,101041,104137,106364
South Asia (IDA & IBRD),TSA,1132832536,1259358616,1386504523,1512521166,1630729920,1744190704
Sub-Saharan Africa (IDA & IBRD countries),TSS,511410066,586808269,669818179,764866591.2,877023136.4,1005570801
Trinidad and Tobago,TTO,1221900,1255001,1267984,1296934,1328100,1360092
Tunisia,TUN,8232797,9113975,9699197,10102482,10639931,11273661
Turkey,TUR,53921699,58486381,63240121,67903406,72326914,78271472
Tuvalu,TUV,9003,9230,9420,10027,10531,11001
Tanzania,TZA,25459604,29960776,34178042,39410545,46098591,53879957
Uganda,UGA,17438907,20550291,24039274,28543940,33915133,40144870
Ukraine,UKR,51892000,51512299,49175848,47105150,45870700,45154029
Upper middle income,UMC,2039466775,2169706348,2284670482,2376019944,2464534816,2560411826
Uruguay,URY,3109989,3224804,3321245,3325612,3374415,3431552
United States of America,USA,249623000,266278000,282162411,295516599,309348193,320896618
Uzbekistan,UZB,20510000,22785000,24650400,26167000,28562400,31298900
Saint Vincent and the Grenadines,VCT,107505,108122,107898,108744,109315,109455
Venezuela,VEN,19861956,22188667,24488340,26784161,29028033,31155134
British Virgin Islands,VGB,16461,18427,20645,23168,27224,30113
United States Virgin Islands,VIR,103963,107817,108639,107863,106267,103574
Vietnam,VNM,66016700,71995500,77630900,82392100,86932500,91713300
Vanuatu,VUT,146634,168235,185063,209370,236295,264603
World,WLD,5284886348,5709757338,6118075293,6517020798,6930656699,7355220412
Samoa,WSM,162866,170157,174610,179929,186205,193759
Kosovo,XKX,1862000,2029000,1700000,1705780,1775680,1801800
Yemen,YEM,12057039,15320653,17874725,20582927,23606779,26916207
South Africa,ZAF,36793490,41426810,44896856,47606670.24,50979432.36,55011976.68
Zambia,ZMB,8027253,9137077,10531221,12052156,13850033,16100587
Zimbabwe,ZWE,10183113,11320346,12222251,12940032,14086317,15777451
