country_dest,country_origin,total
Burundi,Belgium,642
Burundi,Democratic Republic of the Congo,36654
Burundi,France,321
Burundi,Kenya,186
Burundi,Rwanda,221943
Burundi,Uganda,1833
Burundi,United Republic of Tanzania,11912
Comoros,France,543
Comoros,Kenya,87
Comoros,Madagascar,10810
Comoros,Réunion,957
Comoros,United Republic of Tanzania,163
Djibouti,Ethiopia,13405
Djibouti,Somalia,101216
Djibouti,Yemen,289
Eritrea,Angola,247
Eritrea,Cambodia,618
Eritrea,China,8
Eritrea,Comoros,27
Eritrea,Democratic Republic of the Congo,407
Eritrea,Ethiopia,1284
Eritrea,France,108
Eritrea,India,39
Eritrea,Kenya,187
Eritrea,Malawi,114
Eritrea,Mozambique,3537
Eritrea,Rwanda,991
Eritrea,Somalia,1438
Eritrea,South Africa,97
Eritrea,South Sudan,933
Eritrea,Sudan,131
Eritrea,Uganda,175
Eritrea,United Kingdom of Great Britain and Northern Ireland,34
Eritrea,United Republic of Tanzania,218
Eritrea,Zambia,91
Eritrea,Zimbabwe,82
Ethiopia,Cambodia,19
Ethiopia,Democratic Republic of the Congo,48
Ethiopia,Djibouti,904
Ethiopia,Eritrea,69681
Ethiopia,Rwanda,71
Ethiopia,Somalia,616940
Ethiopia,South Sudan,384266
Ethiopia,Sudan,53857
Ethiopia,Uganda,103
Ethiopia,Yemen,68
Kenya,Cambodia,99
Kenya,Democratic Republic of the Congo,394
Kenya,Eritrea,0
Kenya,Ethiopia,26695
Kenya,Mozambique,1043
Kenya,Namibia,119
Kenya,Rwanda,3874
Kenya,Somalia,7875
Kenya,South Africa,197
Kenya,South Sudan,5801
Kenya,Sudan,814
Kenya,Uganda,83355
Kenya,United Republic of Tanzania,66464
Madagascar,China,1481
Madagascar,Comoros,8179
Madagascar,France,6672
Madagascar,India,1171
Malawi,Cambodia,705
Malawi,Congo,735
Malawi,Democratic Republic of the Congo,1338
Malawi,India,1362
Malawi,Mozambique,1075410
Malawi,Rwanda,2249
Malawi,Somalia,211
Malawi,South Africa,1276
Malawi,United Kingdom of Great Britain and Northern Ireland,769
Malawi,United Republic of Tanzania,3279
Malawi,Zambia,5637
Malawi,Zimbabwe,3851
Mauritius,Bangladesh,71
Mauritius,Belgium,76
Mauritius,Bonaire, Sint Eustatius and Saba,36
Mauritius,China,346
Mauritius,China, Hong Kong Special Administrative Region,91
