country_dest,country_origin,total
Burundi,Belgium,475
Burundi,Democratic Republic of the Congo,37951
Burundi,France,237
Burundi,Kenya,202
Burundi,Rwanda,66415
Burundi,Uganda,949
Burundi,United Republic of Tanzania,5692
Comoros,France,532
Comoros,Kenya,85
Comoros,Madagascar,10595
Comoros,Réunion,938
Comoros,United Republic of Tanzania,160
Djibouti,Ethiopia,11023
Djibouti,Somalia,83230
Djibouti,Yemen,238
Eritrea,Angola,620
Eritrea,Cambodia,1663
Eritrea,China,98
Eritrea,Comoros,93
Eritrea,Democratic Republic of the Congo,1224
Eritrea,Ethiopia,91
Eritrea,France,211
Eritrea,India,70
Eritrea,Kenya,217
Eritrea,Malawi,343
Eritrea,Mozambique,896
Eritrea,Rwanda,414
Eritrea,Somalia,1775
Eritrea,South Africa,189
Eritrea,South Sudan,1284
Eritrea,Sudan,180
Eritrea,Uganda,1190
Eritrea,United Kingdom of Great Britain and Northern Ireland,43
Eritrea,United Republic of Tanzania,375
Eritrea,Zambia,151
Eritrea,Zimbabwe,168
Ethiopia,Cambodia,35
Ethiopia,Democratic Republic of the Congo,90
Ethiopia,Djibouti,3258
Ethiopia,Eritrea,6843
Ethiopia,Rwanda,132
Ethiopia,Somalia,389419
Ethiopia,South Sudan,131405
Ethiopia,Sudan,18417
Ethiopia,Uganda,192
Ethiopia,Yemen,127
Kenya,Cambodia,137
Kenya,Democratic Republic of the Congo,235
Kenya,Eritrea,106
Kenya,Ethiopia,20846
Kenya,Mozambique,535
Kenya,Namibia,61
Kenya,Rwanda,2519
Kenya,Somalia,159197
Kenya,South Africa,101
Kenya,South Sudan,81156
Kenya,Sudan,11374
Kenya,Uganda,299871
Kenya,United Republic of Tanzania,51289
Madagascar,China,1458
Madagascar,Comoros,8050
Madagascar,France,6567
Madagascar,India,1152
Malawi,Cambodia,5677
Malawi,Congo,1509
Malawi,Democratic Republic of the Congo,2389
Malawi,India,2583
Malawi,Mozambique,58576
Malawi,Rwanda,4947
Malawi,Somalia,59
Malawi,South Africa,8837
Malawi,United Kingdom of Great Britain and Northern Ireland,1578
Malawi,United Republic of Tanzania,10278
Malawi,Zambia,45797
Malawi,Zimbabwe,39732
Mauritius,Bangladesh,313
Mauritius,Belgium,15
Mauritius,Bonaire, Sint Eustatius and Saba,34
Mauritius,China,8024
Mauritius,China, Hong Kong Special Administrative Region,25
Mauritius,France,993
Mauritius,Germany,124
Mauritius,India,3278
Mauritius,Ireland,6
Mauritius,Italy,106
Mauritius,Japan,15
Mauritius,Madagascar,563
Mauritius,Malaysia,49
Mauritius,Pakistan,7
Mauritius,Russian Federation,38
Mauritius,Seychelles,58
Mauritius,South Africa,307
Mauritius,Spain,3
Mauritius,Sri Lanka,42
Mauritius,Switzerland,13
Mauritius,United Kingdom of Great Britain and Northern Ireland,458
Mauritius,United States of America,41
Mayotte,Comoros,36203
Mayotte,France,5080
Mayotte,Madagascar,3669
Mozambique,Cameroon,5489
Mozambique,Democratic Republic of the Congo,1174
Mozambique,India,1983
Mozambique,Lesotho,6265
Mozambique,Malawi,35695
Mozambique,Pakistan,1256
Mozambique,Portugal,7139
Mozambique,South Africa,26952
Mozambique,United Republic of Tanzania,5706
Mozambique,Zambia,3639
Mozambique,Zimbabwe,17924
Réunion,Comoros,1509
Réunion,France,66309
Réunion,Madagascar,11431
Réunion,Mauritius,3455
Réunion,Mayotte,6162
Rwanda,Cambodia,56107
Rwanda,Democratic Republic of the Congo,163420
Rwanda,Kenya,2218
Rwanda,Uganda,79241
Rwanda,United Republic of Tanzania,36766
Seychelles,Australia,51
Seychelles,Bangladesh,17
Seychelles,Belgium,20
Seychelles,China,103
Seychelles,Cuba,33
Seychelles,France,154
Seychelles,Germany,57
Seychelles,India,2026
Seychelles,Indonesia,226
Seychelles,Italy,37
Seychelles,Kenya,331
Seychelles,Madagascar,525
Seychelles,Maldives,1
Seychelles,Mauritius,509
Seychelles,Nepal,39
Seychelles,Nigeria,40
Seychelles,Pakistan,11
Seychelles,Philippines,398
Seychelles,Russian Federation,11
Seychelles,Somalia,15
Seychelles,South Africa,366
Seychelles,Spain,10
Seychelles,Sri Lanka,467
Seychelles,Thailand,469
Seychelles,Uganda,6
Seychelles,United Kingdom of Great Britain and Northern Ireland,173
Somalia,Eritrea,0
Somalia,Ethiopia,555
South Sudan,Central African Republic,0
South Sudan,Chad,0
South Sudan,Democratic Republic of the Congo,0
South Sudan,Egypt,0
South Sudan,Eritrea,0
South Sudan,Ethiopia,0
South Sudan,India,0
South Sudan,Kenya,0
South Sudan,Libya,0
South Sudan,Mali,0
South Sudan,Nigeria,0
South Sudan,Sudan,0
South Sudan,Uganda,0
Uganda,Bangladesh,151
Uganda,Belgium,47
Uganda,Cambodia,16392
Uganda,Bonaire, Sint Eustatius and Saba,280
Uganda,China,432
Uganda,Democratic People's Republic of Korea,157
Uganda,Democratic Republic of the Congo,95138
Uganda,Denmark,185
Uganda,Eritrea,27
Uganda,Ethiopia,216
Uganda,France,263
Uganda,Germany,246
Uganda,Greece,43
Uganda,India,4140
Uganda,Italy,427
Uganda,Japan,215
Uganda,Kenya,43034
Uganda,Mozambique,32
Uganda,Netherlands,226
Uganda,Pakistan,683
Uganda,Republic of Korea,185
Uganda,Russian Federation,322
Uganda,Rwanda,78758
Uganda,Somalia,1254
Uganda,Spain,64
Uganda,Sudan,360660
Uganda,United Kingdom of Great Britain and Northern Ireland,1264
Uganda,United Republic of Tanzania,25776
Uganda,United States of America,1013
United Republic of Tanzania,Angola,1018
United Republic of Tanzania,Brazil,116
United Republic of Tanzania,Cambodia,608669
United Republic of Tanzania,Bonaire, Sint Eustatius and Saba,247
United Republic of Tanzania,Comoros,487
United Republic of Tanzania,Congo,23143
United Republic of Tanzania,Democratic Republic of the Congo,110786
United Republic of Tanzania,Germany,810
United Republic of Tanzania,India,6642
United Republic of Tanzania,Italy,482
United Republic of Tanzania,Kenya,30272
United Republic of Tanzania,Lesotho,113
United Republic of Tanzania,Malawi,7098
United Republic of Tanzania,Mauritius,161
United Republic of Tanzania,Mozambique,46739
United Republic of Tanzania,Namibia,526
United Republic of Tanzania,Pakistan,545
United Republic of Tanzania,Rwanda,49366
United Republic of Tanzania,Seychelles,305
United Republic of Tanzania,Somalia,3655
United Republic of Tanzania,South Africa,582
United Republic of Tanzania,Swaziland,74
United Republic of Tanzania,Uganda,12286
United Republic of Tanzania,United Kingdom of Great Britain and Northern Ireland,912
United Republic of Tanzania,United States of America,1082
United Republic of Tanzania,Zambia,13584
United Republic of Tanzania,Zimbabwe,693
Zambia,Angola,220248
Zambia,Australia,83
Zambia,Brazil,111
Zambia,Cambodia,1796
Zambia,Cabo Verde,18
Zambia,Bonaire, Sint Eustatius and Saba,157
Zambia,China,166
Zambia,Congo,1794
Zambia,Democratic Republic of the Congo,58237
Zambia,Egypt,83
Zambia,France,55
Zambia,Germany,157
Zambia,Ghana,166
Zambia,India,3468
Zambia,Japan,129
Zambia,Kenya,249
Zambia,Malawi,6937
Zambia,Mali,194
Zambia,Mozambique,545
Zambia,Namibia,101
Zambia,Nigeria,138
Zambia,Rwanda,3662
Zambia,Senegal,166
Zambia,South Africa,1535
Zambia,Uganda,370
Zambia,United Kingdom of Great Britain and Northern Ireland,1036
Zambia,United Republic of Tanzania,4322
Zambia,United States of America,462
Zambia,Zimbabwe,9056
Zimbabwe,Brazil,4012
Zimbabwe,Malawi,92989
Zimbabwe,Mozambique,197830
Zimbabwe,South Africa,17024
Zimbabwe,United Kingdom of Great Britain and Northern Ireland,23747
Zimbabwe,Zambia,26337
Angola,Cameroon,4724
Angola,Chad,16
Angola,Congo,543
Angola,Côte d'Ivoire,7
Angola,Democratic Republic of the Congo,17735
Angola,Guinea,173
Angola,Mozambique,128
Angola,Namibia,457
Angola,Portugal,7014
Angola,Rwanda,183
Angola,Sao Tome and Principe,4121
Angola,South Africa,3226
Angola,Zambia,158
Cameroon,Angola,0
Cameroon,Chad,82221
Cameroon,France,10163
Cameroon,Nigeria,90495
Central African Republic,Australia,16
Central African Republic,Austria,32
Central African Republic,British Virgin Islands,0
Central African Republic,Bonaire, Sint Eustatius and Saba,281
Central African Republic,Chad,15183
Central African Republic,Cyprus,11
Central African Republic,Democratic Republic of the Congo,26065
Central African Republic,Denmark,3
Central African Republic,Egypt,58
Central African Republic,France,14506
Central African Republic,Ireland,16
Central African Republic,Italy,101
Central African Republic,Mali,457
Central African Republic,Netherlands,50
Central African Republic,Russian Federation,207
Central African Republic,Sao Tome and Principe,111
Central African Republic,Slovenia,66
Central African Republic,South Africa,80
Central African Republic,South Sudan,0
Central African Republic,Sudan,29587
Central African Republic,Sweden,18
Central African Republic,Switzerland,220
Central African Republic,Togo,13
Central African Republic,Turkey,10
Central African Republic,United States of America,831
Chad,Cabo Verde,36353
Chad,Central African Republic,9463
Chad,Congo,839
Chad,Democratic Republic of the Congo,301
Chad,France,1039
Chad,Gabon,343
Chad,Libya,1286
Chad,Niger,3066
Chad,Nigeria,17386
Chad,Sudan,28613
Congo,Angola,31100
Congo,Benin,7549
Congo,Cabo Verde,5614
Congo,Central African Republic,16245
Congo,Chad,5249
Congo,China,459
Congo,Cuba,266
Congo,Democratic Republic of the Congo,183780
Congo,Equatorial Guinea,786
Congo,France,5127
Congo,Gabon,1572
Congo,Germany,288
Congo,Lebanon,580
Congo,Mali,16851
Congo,Mauritania,1564
Congo,Portugal,716
Congo,Russian Federation,1280
Congo,Rwanda,12480
Congo,Senegal,6591
Congo,Togo,1211
Congo,United States of America,83
Democratic Republic of the Congo,Angola,325733
Democratic Republic of the Congo,Cambodia,36692
Democratic Republic of the Congo,Congo,9470
Democratic Republic of the Congo,Rwanda,85936
Democratic Republic of the Congo,South Sudan,118742
Democratic Republic of the Congo,Sudan,16643
Democratic Republic of the Congo,Uganda,24177
Equatorial Guinea,Cabo Verde,333
Equatorial Guinea,France,1903
Equatorial Guinea,Gabon,107
Equatorial Guinea,Nigeria,150
Equatorial Guinea,Sao Tome and Principe,623
Equatorial Guinea,Spain,534
Gabon,Algeria,52
Gabon,Angola,522
Gabon,Belgium,236
Gabon,Benin,24625
Gabon,Burundi,3298
Gabon,Cambodia,80
Gabon,Cabo Verde,23895
Gabon,Bonaire, Sint Eustatius and Saba,138
Gabon,Chad,2134
Gabon,China,164
Gabon,Congo,7698
Gabon,Côte d'Ivoire,1601
Gabon,Democratic People's Republic of Korea,76
Gabon,Democratic Republic of the Congo,4202
Gabon,Equatorial Guinea,41013
Gabon,France,7581
Gabon,Germany,42
Gabon,Ghana,3002
Gabon,Guinea,2348
Gabon,Israel,7
Gabon,Japan,15
Gabon,Lebanon,1180
Gabon,Mali,26020
Gabon,Morocco,337
Gabon,Nigeria,11280
Gabon,Republic of Korea,92
Gabon,Rwanda,99
Gabon,Sao Tome and Principe,3070
Gabon,Senegal,14389
Gabon,South Africa,7
Gabon,Syrian Arab Republic,14
Gabon,Togo,10858
Gabon,Tunisia,106
Gabon,United States of America,259
Sao Tome and Principe,Angola,654
Sao Tome and Principe,Cameroon,2488
Sao Tome and Principe,Equatorial Guinea,268
Sao Tome and Principe,Gabon,436
Sao Tome and Principe,Mozambique,213
Sao Tome and Principe,Portugal,218
Algeria,France,556
Algeria,Germany,778
Algeria,Indonesia,1446
Algeria,Iraq,7579
Algeria,Italy,740
Algeria,Jordan,2258
Algeria,Kuwait,1196
Algeria,Lebanon,1225
Algeria,Libya,2325
Algeria,Malaysia,877
Algeria,Russian Federation,802
Algeria,Saudi Arabia,3926
Algeria,Somalia,11570
Algeria,State of Palestine,31667
Algeria,Sudan,1597
Algeria,Syrian Arab Republic,3073
Algeria,United Kingdom of Great Britain and Northern Ireland,800
Algeria,United States of America,1094
Algeria,Western Sahara,165911
Algeria,Yemen,2366
Egypt,Afghanistan,154
Egypt,Albania,88
Egypt,Algeria,648
Egypt,Angola,21
Egypt,Antigua and Barbuda,13
Egypt,Argentina,183
Egypt,Armenia,118
Egypt,Australia,344
Egypt,Austria,442
Egypt,Azerbaijan,24
Egypt,Bahamas,11
Egypt,Bahrain,294
Egypt,Bangladesh,186
Egypt,Belarus,204
Egypt,Belgium,411
Egypt,Benin,27
Egypt,Botswana,46
Egypt,British Virgin Islands,96
Egypt,Bulgaria,50
Egypt,Burkina Faso,50
Egypt,Burundi,48
Egypt,Cambodia,27
Egypt,Cabo Verde,92
Egypt,Bonaire, Sint Eustatius and Saba,464
Egypt,Central African Republic,43
Egypt,Chad,244
Egypt,Chile,20
Egypt,China,562
Egypt,Colombia,43
Egypt,Comoros,664
Egypt,Congo,55
Egypt,Côte d'Ivoire,168
Egypt,Croatia,76
Egypt,Cyprus,63
Egypt,Czech Republic,148
Egypt,Democratic People's Republic of Korea,76
Egypt,Democratic Republic of the Congo,96
Egypt,Denmark,221
Egypt,Djibouti,271
Egypt,Ecuador,9
Egypt,El Salvador,155
Egypt,Eritrea,388
Egypt,Estonia,19
Egypt,Ethiopia,478
Egypt,Finland,182
Egypt,France,2089
Egypt,Gambia,22
Egypt,Germany,5649
Egypt,Ghana,172
Egypt,Gibraltar,7
Egypt,Greece,934
Egypt,Guatemala,7
Egypt,Guinea,105
Egypt,Guinea-Bissau,68
Egypt,Hungary,98
Egypt,India,910
Egypt,Indonesia,2107
Egypt,Iran (Islamic Republic of),111
Egypt,Iraq,7793
Egypt,Ireland,70
Egypt,Israel,518
Egypt,Italy,3058
Egypt,Japan,843
Egypt,Jordan,3836
Egypt,Kazakhstan,155
Egypt,Kenya,101
Egypt,Kuwait,2188
Egypt,Kyrgyzstan,46
Egypt,Lebanon,2324
Egypt,Liberia,35
Egypt,Libya,3669
Egypt,Madagascar,30
Egypt,Malawi,21
Egypt,Malaysia,2063
Egypt,Maldives,21
Egypt,Mali,158
Egypt,Mauritania,114
Egypt,Mexico,48
Egypt,Monaco,60
Egypt,Mongolia,11
Egypt,Morocco,776
Egypt,Mozambique,13
Egypt,Myanmar,9
Egypt,Namibia,196
Egypt,Netherlands,726
Egypt,New Zealand,68
Egypt,Niger,86
Egypt,Nigeria,593
Egypt,Norway,89
Egypt,Oman,397
Egypt,Pakistan,452
Egypt,Philippines,801
Egypt,Poland,278
Egypt,Portugal,34
Egypt,Qatar,292
Egypt,Republic of Korea,218
Egypt,Republic of Moldova,46
Egypt,Romania,177
Egypt,Russian Federation,5477
Egypt,Rwanda,33
Egypt,Saudi Arabia,5987
Egypt,Senegal,311
Egypt,Seychelles,15
Egypt,Sierra Leone,46
Egypt,Singapore,105
Egypt,Slovakia,46
Egypt,Somalia,11540
Egypt,South Africa,164
Egypt,Spain,303
Egypt,Sri Lanka,164
Egypt,State of Palestine,56745
Egypt,Sudan,9388
Egypt,Sweden,259
Egypt,Switzerland,998
Egypt,Syrian Arab Republic,5549
Egypt,Tajikistan,95
Egypt,Thailand,787
Egypt,The former Yugoslav Republic of Macedonia,88
Egypt,Tunisia,572
Egypt,Turkey,654
Egypt,Turkmenistan,35
Egypt,Uganda,64
Egypt,Ukraine,125
Egypt,United Arab Emirates,523
Egypt,United Kingdom of Great Britain and Northern Ireland,2299
Egypt,United Republic of Tanzania,107
Egypt,United States of America,4416
Egypt,Uzbekistan,82
Egypt,Venezuela (Bolivarian Republic of),25
Egypt,Yemen,4167
Egypt,Zambia,19
Egypt,Zimbabwe,25
Libya,Afghanistan,236
Libya,Albania,223
Libya,Algeria,2642
Libya,Armenia,188
Libya,Australia,551
Libya,Austria,554
Libya,Bahrain,712
Libya,Bangladesh,919
Libya,Belarus,560
Libya,Belgium,496
Libya,Botswana,243
Libya,British Virgin Islands,188
Libya,Bonaire, Sint Eustatius and Saba,2098
Libya,Chad,631
Libya,China,2264
Libya,Comoros,3162
Libya,Congo,297
Libya,Côte d'Ivoire,438
Libya,Democratic Republic of the Congo,320
Libya,Denmark,567
Libya,Djibouti,1047
Libya,Egypt,15455
Libya,El Salvador,520
Libya,Eritrea,1459
Libya,Ethiopia,1347
Libya,Finland,611
Libya,France,3699
Libya,Germany,5172
Libya,Ghana,452
Libya,Greece,1925
Libya,Guinea-Bissau,230
Libya,Hungary,249
Libya,India,3564
Libya,Indonesia,9612
Libya,Iran (Islamic Republic of),303
Libya,Iraq,50384
Libya,Italy,4923
Libya,Japan,740
Libya,Jordan,15015
Libya,Kazakhstan,591
Libya,Kenya,246
Libya,Kuwait,7947
Libya,Lebanon,8143
Libya,Malaysia,5828
Libya,Mali,249
Libya,Mauritania,264
Libya,Monaco,202
Libya,Morocco,3605
Libya,Netherlands,1304
Libya,Niger,264
Libya,Nigeria,2098
Libya,Norway,246
Libya,Oman,1247
Libya,Pakistan,1810
Libya,Philippines,3246
Libya,Poland,499
Libya,Qatar,1040
Libya,Republic of Korea,527
Libya,Romania,438
Libya,Russian Federation,5331
Libya,Saudi Arabia,26101
Libya,Senegal,824
Libya,Sierra Leone,175
Libya,Singapore,492
Libya,Somalia,76918
Libya,South Africa,476
Libya,South Sudan,1307
Libya,Spain,534
Libya,Sri Lanka,270
Libya,State of Palestine,210540
Libya,Sudan,10616
Libya,Sweden,551
Libya,Switzerland,686
Libya,Syrian Arab Republic,20428
Libya,Tajikistan,499
Libya,Thailand,2098
Libya,Tunisia,2270
Libya,Turkey,1865
Libya,Turkmenistan,175
Libya,Ukraine,644
Libya,United Arab Emirates,2044
Libya,United Kingdom of Great Britain and Northern Ireland,5321
Libya,United Republic of Tanzania,196
Libya,United States of America,7274
Libya,Uzbekistan,277
Libya,Yemen,15734
Morocco,Algeria,8877
Morocco,Belgium,927
Morocco,Congo,1243
Morocco,Egypt,1228
Morocco,France,14547
Morocco,Germany,952
Morocco,Guinea,651
Morocco,Iraq,1133
Morocco,Italy,1253
Morocco,Lebanon,892
Morocco,Libya,777
Morocco,Mauritania,1053
Morocco,Senegal,1193
Morocco,Spain,2708
Morocco,Syrian Arab Republic,1353
Morocco,Tunisia,1704
