country_dest,country_origin,total
Morocco,United Kingdom of Great Britain and Northern Ireland,801
Morocco,United States of America,1208
Sudan,Central African Republic,18639
Sudan,Chad,72615
Sudan,China,1746
Sudan,Democratic Republic of the Congo,12378
Sudan,Egypt,22327
Sudan,Eritrea,435158
Sudan,Ethiopia,123478
Sudan,India,2351
Sudan,Kenya,6367
Sudan,Libya,2492
Sudan,Mali,1101
Sudan,Nigeria,24143
Sudan,Somalia,43
Sudan,South Sudan,0
Sudan,Uganda,44409
Tunisia,Algeria,9967
Tunisia,Cabo Verde,0
Tunisia,Côte d'Ivoire,628
Tunisia,Egypt,693
Tunisia,France,4754
Tunisia,Germany,1031
Tunisia,Iraq,11
Tunisia,Italy,1608
Tunisia,Libya,1791
Tunisia,Mali,229
Tunisia,Mauritania,430
Tunisia,Morocco,6558
Tunisia,Nigeria,133
Tunisia,Senegal,371
Tunisia,State of Palestine,727
Tunisia,Syrian Arab Republic,434
Tunisia,United States of America,269
Western Sahara,Algeria,50
Western Sahara,France,171
Western Sahara,Guinea,606
Western Sahara,Guinea-Bissau,640
Western Sahara,Mali,237
Western Sahara,Mauritania,345
Western Sahara,Senegal,1108
Botswana,Angola,1320
Botswana,Australia,114
Botswana,Bonaire, Sint Eustatius and Saba,106
Botswana,China,1348
Botswana,Democratic Republic of the Congo,1261
Botswana,Denmark,104
Botswana,Germany,341
Botswana,India,3032
Botswana,Ireland,190
Botswana,Italy,165
Botswana,Kenya,254
Botswana,Lesotho,1212
Botswana,Madagascar,238
Botswana,Malawi,1709
Botswana,Mauritius,700
Botswana,Mozambique,441
Botswana,Namibia,687
Botswana,Netherlands,193
Botswana,Nigeria,285
Botswana,Norway,118
Botswana,Pakistan,223
Botswana,Portugal,141
Botswana,Seychelles,95
Botswana,South Africa,13860
Botswana,Sri Lanka,613
Botswana,Swaziland,259
Botswana,Sweden,133
Botswana,Uganda,570
Botswana,United Kingdom of Great Britain and Northern Ireland,993
Botswana,United Republic of Tanzania,1104
Botswana,United States of America,55
Botswana,Zambia,4773
Botswana,Zimbabwe,11763
Lesotho,Brazil,102
Lesotho,China,114
Lesotho,Ghana,85
Lesotho,India,215
Lesotho,Malawi,36
Lesotho,Mozambique,23
Lesotho,Namibia,4
Lesotho,Pakistan,215
Lesotho,South Africa,2441
Lesotho,Swaziland,36
Lesotho,Uganda,130
Lesotho,United Republic of Tanzania,81
Lesotho,United States of America,85
Lesotho,Zambia,66
Lesotho,Zimbabwe,66
Namibia,Afghanistan,58
Namibia,Algeria,637
Namibia,Angola,48646
Namibia,Antigua and Barbuda,616
Namibia,Argentina,67
Namibia,Armenia,84
Namibia,Australia,705
Namibia,Austria,801
Namibia,Bahamas,67
Namibia,Bahrain,65
Namibia,Bangladesh,44
Namibia,Belgium,242
Namibia,Benin,206
Namibia,Brazil,865
Namibia,British Virgin Islands,702
Namibia,Burkina Faso,41
Namibia,Burundi,94
Namibia,Cambodia,511
Namibia,Cabo Verde,156
Namibia,Bonaire, Sint Eustatius and Saba,248
Namibia,Chile,44
Namibia,China,4078
Namibia,Congo,1468
Namibia,Côte d'Ivoire,41
Namibia,Cuba,893
Namibia,Czech Republic,101
Namibia,Democratic People's Republic of Korea,133
Namibia,Democratic Republic of the Congo,4179
Namibia,Denmark,150
Namibia,Egypt,229
Namibia,Ethiopia,278
Namibia,Finland,104
Namibia,France,705
Namibia,Gambia,114
Namibia,Germany,11896
Namibia,Ghana,189
Namibia,Guinea,71
Namibia,India,886
Namibia,Indonesia,120
Namibia,Iran (Islamic Republic of),41
Namibia,Ireland,80
Namibia,Israel,143
Namibia,Italy,1083
Namibia,Japan,150
Namibia,Kenya,1458
Namibia,Lebanon,61
Namibia,Lesotho,166
Namibia,Libya,48
Namibia,Luxembourg,58
Namibia,Malawi,485
Namibia,Mauritius,141
Namibia,Mozambique,182
Namibia,Netherlands,679
Namibia,New Zealand,67
Namibia,Nigeria,1290
Namibia,Norway,71
Namibia,Pakistan,219
Namibia,Philippines,325
Namibia,Poland,222
Namibia,Portugal,570
Namibia,Republic of Korea,48
Namibia,Romania,41
Namibia,Russian Federation,597
Namibia,Rwanda,471
Namibia,Senegal,41
Namibia,Seychelles,75
Namibia,Sierra Leone,216
Namibia,Somalia,123
Namibia,South Africa,11132
Namibia,Spain,452
Namibia,Sudan,262
Namibia,Swaziland,259
Namibia,Sweden,133
Namibia,Switzerland,564
Namibia,Thailand,98
Namibia,Turkey,48
Namibia,Uganda,633
Namibia,Ukraine,338
Namibia,United Kingdom of Great Britain and Northern Ireland,2256
Namibia,United Republic of Tanzania,1442
Namibia,United States of America,1379
Namibia,Zambia,3971
Namibia,Zimbabwe,18964
South Africa,Afghanistan,30
South Africa,Albania,68
South Africa,Algeria,186
South Africa,Angola,15551
South Africa,Argentina,982
South Africa,Australia,2983
South Africa,Austria,2232
South Africa,Bahrain,69
South Africa,Bangladesh,1049
South Africa,Barbados,13
South Africa,Belarus,100
South Africa,Belgium,3291
South Africa,Benin,81
South Africa,Bermuda,26
South Africa,Bolivia (Plurinational State of),68
South Africa,Botswana,78
South Africa,Brazil,17332
South Africa,British Virgin Islands,1215
South Africa,Brunei Darussalam,10
South Africa,Bulgaria,10
South Africa,Burkina Faso,1629
South Africa,Cambodia,1521
South Africa,Cabo Verde,978
South Africa,Bonaire, Sint Eustatius and Saba,2357
South Africa,Central African Republic,50
South Africa,Chile,277
South Africa,China,9695
South Africa,China, Hong Kong Special Administrative Region,669
South Africa,Colombia,246
South Africa,Comoros,82
South Africa,Congo,7768
South Africa,Côte d'Ivoire,474
South Africa,Croatia,422
South Africa,Cuba,636
South Africa,Cyprus,2035
South Africa,Czech Republic,826
South Africa,Democratic People's Republic of Korea,58
South Africa,Democratic Republic of the Congo,8208
South Africa,Denmark,1047
South Africa,Egypt,1914
South Africa,Eritrea,222
South Africa,Estonia,61
South Africa,Ethiopia,1224
South Africa,Fiji,20
South Africa,Finland,269
South Africa,France,3135
South Africa,Gabon,130
South Africa,Germany,23472
South Africa,Ghana,2756
South Africa,Gibraltar,23
South Africa,Greece,3738
South Africa,Guatemala,38
South Africa,Guinea,33
South Africa,Guinea-Bissau,13
South Africa,Guyana,24
South Africa,Iceland,14
South Africa,India,16669
South Africa,Indonesia,505
South Africa,Iran (Islamic Republic of),291
South Africa,Iraq,67
South Africa,Ireland,5010
South Africa,Israel,1850
South Africa,Italy,9653
South Africa,Jamaica,81
South Africa,Japan,725
South Africa,Jordan,24
South Africa,Kenya,6792
South Africa,Kuwait,38
South Africa,Kyrgyzstan,0
South Africa,Lao People's Democratic Republic,14
South Africa,Latvia,174
South Africa,Lebanon,384
South Africa,Lesotho,111888
South Africa,Liberia,251
South Africa,Libya,68
South Africa,Lithuania,167
South Africa,Luxembourg,12
South Africa,Madagascar,179
South Africa,Malawi,25638
South Africa,Malaysia,377
South Africa,Maldives,24
South Africa,Mali,45
South Africa,Malta,142
South Africa,Mauritius,3520
South Africa,Mexico,119
South Africa,Monaco,11
South Africa,Morocco,450
South Africa,Mozambique,234274
South Africa,Myanmar,90
South Africa,Namibia,43615
South Africa,Nauru,10
South Africa,Nepal,53
South Africa,Netherlands,8325
South Africa,New Zealand,1295
South Africa,Nicaragua,46
South Africa,Niger,9
South Africa,Nigeria,6829
South Africa,Niue,9
South Africa,Northern Mariana Islands,12
South Africa,Norway,462
South Africa,Oman,14
South Africa,Pakistan,4119
South Africa,Panama,25
South Africa,Papua New Guinea,25
South Africa,Paraguay,50
South Africa,Peru,85
South Africa,Philippines,621
South Africa,Poland,4080
South Africa,Portugal,18765
South Africa,Republic of Korea,690
South Africa,Réunion,139
South Africa,Romania,670
South Africa,Russian Federation,1406
South Africa,Rwanda,1292
South Africa,Saint Helena,94
South Africa,Saint Kitts and Nevis,11
South Africa,Saudi Arabia,257
South Africa,Senegal,1140
South Africa,Serbia,1577
South Africa,Seychelles,276
South Africa,Sierra Leone,164
South Africa,Singapore,377
South Africa,Slovakia,175
South Africa,Somalia,6209
South Africa,Spain,604
South Africa,Sri Lanka,409
South Africa,State of Palestine,41
South Africa,Sudan,1188
South Africa,Swaziland,31276
South Africa,Sweden,101
South Africa,Switzerland,814
South Africa,Syrian Arab Republic,49
South Africa,Thailand,363
South Africa,The former Yugoslav Republic of Macedonia,51
South Africa,Trinidad and Tobago,11
South Africa,Tunisia,48
South Africa,Turkey,468
South Africa,Uganda,1962
South Africa,Ukraine,1577
South Africa,United Arab Emirates,75
South Africa,United Kingdom of Great Britain and Northern Ireland,124002
South Africa,United Republic of Tanzania,3853
South Africa,United States of America,6982
South Africa,Uruguay,48
South Africa,Venezuela (Bolivarian Republic of),125
South Africa,Viet Nam,67
South Africa,Yemen,35
South Africa,Zambia,23068
South Africa,Zimbabwe,127073
Swaziland,Angola,67
Swaziland,Australia,16
Swaziland,Brazil,83
Swaziland,Cambodia,103
Swaziland,Bonaire, Sint Eustatius and Saba,12
Swaziland,Congo,36
Swaziland,Democratic Republic of the Congo,78
Swaziland,Ethiopia,15
Swaziland,Lesotho,131
Swaziland,Liberia,18
Swaziland,Mozambique,9127
Swaziland,New Zealand,5
Swaziland,Rwanda,45
Swaziland,Somalia,47
Swaziland,South Africa,9545
Swaziland,Uganda,30
Swaziland,United States of America,146
Benin,Burundi,5421
Benin,Chad,381
Benin,Congo,1041
Benin,Côte d'Ivoire,7489
Benin,France,979
Benin,Ghana,5565
Benin,Mali,703
Benin,Niger,41294
Benin,Nigeria,24306
Benin,Togo,26222
Burkina Faso,Benin,3071
Burkina Faso,Côte d'Ivoire,383695
Burkina Faso,Ghana,29139
Burkina Faso,Mali,42260
Burkina Faso,Niger,10633
Burkina Faso,Nigeria,3801
Burkina Faso,Senegal,2965
Burkina Faso,Togo,10415
Cabo Verde,Angola,2209
Cabo Verde,Argentina,10
Cabo Verde,Belgium,24
Cabo Verde,British Virgin Islands,130
Cabo Verde,China,51
