country_dest,country_origin,total
Mauritius,China, Hong Kong Special Administrative Region,20
Mauritius,France,1308
Mauritius,Germany,119
Mauritius,India,7517
Mauritius,Ireland,44
Mauritius,Italy,127
Mauritius,Japan,8
Mauritius,Madagascar,1979
Mauritius,Malaysia,53
Mauritius,Pakistan,163
Mauritius,Russian Federation,43
Mauritius,Seychelles,108
Mauritius,South Africa,541
Mauritius,Spain,24
Mauritius,Sri Lanka,979
Mauritius,Switzerland,92
Mauritius,United Kingdom of Great Britain and Northern Ireland,395
Mauritius,United States of America,43
Mayotte,Comoros,56520
Mayotte,France,9498
Mayotte,Madagascar,5230
Mozambique,Cameroon,6524
Mozambique,Democratic Republic of the Congo,2250
Mozambique,India,2344
Mozambique,Lesotho,7548
Mozambique,Malawi,74598
Mozambique,Pakistan,1235
Mozambique,Portugal,4256
Mozambique,South Africa,8566
Mozambique,United Republic of Tanzania,7367
Mozambique,Zambia,5722
Mozambique,Zimbabwe,24481
Réunion,Comoros,2143
Réunion,France,81294
Réunion,Madagascar,16210
Réunion,Mauritius,4893
Réunion,Mayotte,6294
Rwanda,Cambodia,64931
Rwanda,Democratic Republic of the Congo,214283
Rwanda,Kenya,2598
Rwanda,Uganda,92808
Rwanda,United Republic of Tanzania,43060
Seychelles,Australia,46
Seychelles,Bangladesh,197
Seychelles,Belgium,34
Seychelles,China,456
Seychelles,Cuba,39
Seychelles,France,214
Seychelles,Germany,76
Seychelles,India,5788
Seychelles,Indonesia,126
Seychelles,Italy,109
Seychelles,Kenya,366
Seychelles,Madagascar,716
Seychelles,Maldives,34
Seychelles,Mauritius,495
Seychelles,Nepal,157
Seychelles,Nigeria,122
Seychelles,Pakistan,22
Seychelles,Philippines,630
Seychelles,Russian Federation,86
Seychelles,Somalia,58
Seychelles,South Africa,228
Seychelles,Spain,22
Seychelles,Sri Lanka,534
Seychelles,Thailand,214
Seychelles,Uganda,25
Seychelles,United Kingdom of Great Britain and Northern Ireland,259
Somalia,Eritrea,37
Somalia,Ethiopia,1882
South Sudan,Central African Republic,5166
South Sudan,Chad,5327
South Sudan,Democratic Republic of the Congo,67795
South Sudan,Egypt,5287
South Sudan,Eritrea,3410
South Sudan,Ethiopia,8605
South Sudan,India,1454
South Sudan,Kenya,9821
South Sudan,Libya,177
South Sudan,Mali,198
South Sudan,Nigeria,3635
South Sudan,Sudan,0
South Sudan,Uganda,144466
Uganda,Bangladesh,149
Uganda,Belgium,46
Uganda,Cambodia,21030
Uganda,Bonaire, Sint Eustatius and Saba,277
Uganda,China,426
Uganda,Democratic People's Republic of Korea,155
Uganda,Democratic Republic of the Congo,166901
Uganda,Denmark,182
Uganda,Eritrea,3490
Uganda,Ethiopia,989
Uganda,France,259
Uganda,Germany,243
Uganda,Greece,43
Uganda,India,4090
Uganda,Italy,421
Uganda,Japan,212
Uganda,Kenya,43824
Uganda,Mozambique,31
Uganda,Netherlands,223
Uganda,Pakistan,697
Uganda,Republic of Korea,182
Uganda,Russian Federation,318
Uganda,Rwanda,76836
Uganda,Somalia,11168
Uganda,Spain,63
Uganda,Sudan,166124
Uganda,United Kingdom of Great Britain and Northern Ireland,1249
Uganda,United Republic of Tanzania,25473
Uganda,United States of America,1000
United Republic of Tanzania,Angola,1186
United Republic of Tanzania,Brazil,136
United Republic of Tanzania,Cambodia,112009
United Republic of Tanzania,Bonaire, Sint Eustatius and Saba,282
United Republic of Tanzania,Comoros,567
United Republic of Tanzania,Congo,24354
United Republic of Tanzania,Democratic Republic of the Congo,60386
United Republic of Tanzania,Germany,924
United Republic of Tanzania,India,7629
United Republic of Tanzania,Italy,550
United Republic of Tanzania,Kenya,27864
United Republic of Tanzania,Lesotho,140
United Republic of Tanzania,Malawi,7011
United Republic of Tanzania,Mauritius,187
United Republic of Tanzania,Mozambique,28177
United Republic of Tanzania,Namibia,613
United Republic of Tanzania,Pakistan,635
United Republic of Tanzania,Rwanda,5246
United Republic of Tanzania,Seychelles,355
United Republic of Tanzania,Somalia,2273
United Republic of Tanzania,South Africa,678
United Republic of Tanzania,Swaziland,86
United Republic of Tanzania,Uganda,6938
United Republic of Tanzania,United Kingdom of Great Britain and Northern Ireland,1040
United Republic of Tanzania,United States of America,1234
United Republic of Tanzania,Zambia,10265
United Republic of Tanzania,Zimbabwe,809
Zambia,Angola,37106
Zambia,Australia,264
Zambia,Brazil,918
Zambia,Cambodia,3243
Zambia,Cabo Verde,243
Zambia,Bonaire, Sint Eustatius and Saba,200
Zambia,China,1007
Zambia,Congo,8481
Zambia,Democratic Republic of the Congo,20933
Zambia,Egypt,164
Zambia,France,70
Zambia,Germany,279
Zambia,Ghana,175
Zambia,India,4630
Zambia,Japan,100
Zambia,Kenya,536
Zambia,Malawi,13467
Zambia,Mali,217
Zambia,Mozambique,1301
Zambia,Namibia,630
Zambia,Nigeria,508
Zambia,Rwanda,7462
Zambia,Senegal,142
Zambia,South Africa,3072
Zambia,Uganda,456
Zambia,United Kingdom of Great Britain and Northern Ireland,1286
Zambia,United Republic of Tanzania,5918
Zambia,United States of America,949
Zambia,Zimbabwe,17106
Zimbabwe,Brazil,3705
Zimbabwe,Malawi,103281
Zimbabwe,Mozambique,117799
Zimbabwe,South Africa,18910
Zimbabwe,United Kingdom of Great Britain and Northern Ireland,12174
Zimbabwe,Zambia,30373
Angola,Cameroon,7493
Angola,Chad,26
Angola,Congo,862
Angola,Côte d'Ivoire,33
Angola,Democratic Republic of the Congo,30944
Angola,Guinea,274
Angola,Mozambique,203
Angola,Namibia,725
Angola,Portugal,11125
Angola,Rwanda,871
Angola,Sao Tome and Principe,6536
Angola,South Africa,5118
Angola,Zambia,251
Cameroon,Angola,2046
Cameroon,Benin,1921
Cameroon,Bonaire, Sint Eustatius and Saba,143
Cameroon,Central African Republic,97713
Cameroon,Chad,56426
Cameroon,Congo,2365
Cameroon,Democratic Republic of the Congo,3265
Cameroon,Equatorial Guinea,2688
Cameroon,France,3695
Cameroon,Gabon,845
Cameroon,Germany,236
Cameroon,Greece,153
Cameroon,Guinea,3665
Cameroon,Italy,407
Cameroon,Liberia,3407
Cameroon,Mali,6567
Cameroon,Netherlands,127
Cameroon,Niger,8409
Cameroon,Nigeria,82748
Cameroon,Senegal,2524
Cameroon,United Kingdom of Great Britain and Northern Ireland,204
Cameroon,United States of America,655
Central African Republic,Australia,12
Central African Republic,Austria,24
Central African Republic,British Virgin Islands,0
Central African Republic,Bonaire, Sint Eustatius and Saba,213
Central African Republic,Chad,11488
Central African Republic,Cyprus,8
Central African Republic,Democratic Republic of the Congo,19723
Central African Republic,Denmark,2
Central African Republic,Egypt,44
Central African Republic,France,10976
Central African Republic,Ireland,12
Central African Republic,Italy,76
Central African Republic,Mali,345
Central African Republic,Netherlands,38
Central African Republic,Russian Federation,156
Central African Republic,Sao Tome and Principe,84
Central African Republic,Slovenia,49
Central African Republic,South Africa,60
Central African Republic,South Sudan,0
Central African Republic,Sudan,22388
Central African Republic,Sweden,14
Central African Republic,Switzerland,166
Central African Republic,Togo,10
Central African Republic,Turkey,8
Central African Republic,United States of America,628
Chad,Cabo Verde,29790
Chad,Central African Republic,75211
Chad,Congo,687
Chad,Democratic Republic of the Congo,247
Chad,France,852
Chad,Gabon,281
Chad,Libya,1054
Chad,Niger,2512
Chad,Nigeria,2401
Chad,Sudan,293127
Congo,Angola,31028
Congo,Benin,11432
Congo,Cabo Verde,8502
Congo,Central African Republic,24601
Congo,Chad,7949
Congo,China,695
Congo,Cuba,403
Congo,Democratic Republic of the Congo,252142
Congo,Equatorial Guinea,1190
Congo,France,7765
Congo,Gabon,2380
Congo,Germany,436
Congo,Lebanon,878
Congo,Mali,25520
Congo,Mauritania,2369
Congo,Portugal,1084
Congo,Russian Federation,1938
Congo,Rwanda,18900
Congo,Senegal,9981
Congo,Togo,1834
Congo,United States of America,125
Democratic Republic of the Congo,Angola,260002
Democratic Republic of the Congo,Cambodia,37686
Democratic Republic of the Congo,Congo,1551
Democratic Republic of the Congo,Rwanda,124070
Democratic Republic of the Congo,South Sudan,4472
Democratic Republic of the Congo,Sudan,626
Democratic Republic of the Congo,Uganda,33
Equatorial Guinea,Cabo Verde,638
Equatorial Guinea,France,3649
Equatorial Guinea,Gabon,205
Equatorial Guinea,Nigeria,287
Equatorial Guinea,Sao Tome and Principe,1194
Equatorial Guinea,Spain,1023
Gabon,Algeria,65
Gabon,Angola,652
Gabon,Belgium,295
Gabon,Benin,30722
Gabon,Burundi,4115
Gabon,Cambodia,99
Gabon,Cabo Verde,29811
Gabon,Bonaire, Sint Eustatius and Saba,172
Gabon,Chad,2663
Gabon,China,204
Gabon,Congo,9604
Gabon,Côte d'Ivoire,1997
Gabon,Democratic People's Republic of Korea,95
Gabon,Democratic Republic of the Congo,5242
Gabon,Equatorial Guinea,51167
Gabon,France,9457
Gabon,Germany,52
Gabon,Ghana,3745
Gabon,Guinea,2929
Gabon,Israel,10
Gabon,Japan,19
Gabon,Lebanon,1472
Gabon,Mali,32463
Gabon,Morocco,421
Gabon,Nigeria,14072
Gabon,Republic of Korea,115
Gabon,Rwanda,124
Gabon,Sao Tome and Principe,3830
Gabon,Senegal,17951
Gabon,South Africa,8
Gabon,Syrian Arab Republic,17
Gabon,Togo,13546
Gabon,Tunisia,132
Gabon,United States of America,324
Sao Tome and Principe,Angola,404
Sao Tome and Principe,Cameroon,1538
Sao Tome and Principe,Equatorial Guinea,165
Sao Tome and Principe,Gabon,268
Sao Tome and Principe,Mozambique,131
Sao Tome and Principe,Portugal,134
Algeria,France,1011
Algeria,Germany,1414
Algeria,Indonesia,2628
Algeria,Iraq,13777
Algeria,Italy,1346
Algeria,Jordan,4106
Algeria,Kuwait,2173
Algeria,Lebanon,2226
Algeria,Libya,4226
Algeria,Malaysia,1594
Algeria,Russian Federation,1458
Algeria,Saudi Arabia,7137
Algeria,Somalia,21031
Algeria,State of Palestine,57565
Algeria,Sudan,2903
Algeria,Syrian Arab Republic,5585
Algeria,United Kingdom of Great Britain and Northern Ireland,1455
Algeria,United States of America,1989
Algeria,Western Sahara,91905
Algeria,Yemen,4302
Egypt,Afghanistan,198
Egypt,Albania,113
Egypt,Algeria,832
Egypt,Angola,27
Egypt,Antigua and Barbuda,16
Egypt,Argentina,235
Egypt,Armenia,151
Egypt,Australia,442
Egypt,Austria,568
Egypt,Azerbaijan,31
Egypt,Bahamas,14
Egypt,Bahrain,378
Egypt,Bangladesh,239
Egypt,Belarus,262
Egypt,Belgium,528
Egypt,Benin,35
Egypt,Botswana,59
Egypt,British Virgin Islands,123
Egypt,Bulgaria,65
Egypt,Burkina Faso,65
Egypt,Burundi,62
Egypt,Cambodia,35
Egypt,Cabo Verde,119
Egypt,Bonaire, Sint Eustatius and Saba,596
Egypt,Central African Republic,55
Egypt,Chad,313
Egypt,Chile,26
Egypt,China,722
Egypt,Colombia,55
Egypt,Comoros,854
Egypt,Congo,70
Egypt,Côte d'Ivoire,216
Egypt,Croatia,97
Egypt,Cyprus,81
Egypt,Czech Republic,190
Egypt,Democratic People's Republic of Korea,97
Egypt,Democratic Republic of the Congo,123
Egypt,Denmark,284
Egypt,Djibouti,349
Egypt,Ecuador,12
Egypt,El Salvador,200
Egypt,Eritrea,499
Egypt,Estonia,25
Egypt,Ethiopia,614
Egypt,Finland,234
Egypt,France,2684
Egypt,Gambia,28
Egypt,Germany,7258
Egypt,Ghana,221
Egypt,Gibraltar,9
Egypt,Greece,1200
Egypt,Guatemala,9
Egypt,Guinea,135
Egypt,Guinea-Bissau,87
Egypt,Hungary,126
Egypt,India,1169
Egypt,Indonesia,2707
Egypt,Iran (Islamic Republic of),142
Egypt,Iraq,10013
Egypt,Ireland,90
Egypt,Israel,666
Egypt,Italy,3930
Egypt,Japan,1084
Egypt,Jordan,4929
Egypt,Kazakhstan,200
Egypt,Kenya,130
Egypt,Kuwait,2811
Egypt,Kyrgyzstan,59
Egypt,Lebanon,2986
Egypt,Liberia,45
Egypt,Libya,4714
Egypt,Madagascar,39
Egypt,Malawi,27
Egypt,Malaysia,2651
Egypt,Maldives,27
Egypt,Mali,203
Egypt,Mauritania,147
Egypt,Mexico,62
Egypt,Monaco,77
Egypt,Mongolia,14
Egypt,Morocco,997
Egypt,Mozambique,16
Egypt,Myanmar,12
Egypt,Namibia,251
Egypt,Netherlands,932
Egypt,New Zealand,87
Egypt,Niger,110
Egypt,Nigeria,762
Egypt,Norway,114
Egypt,Oman,510
Egypt,Pakistan,581
Egypt,Philippines,1030
Egypt,Poland,357
Egypt,Portugal,43
Egypt,Qatar,376
Egypt,Republic of Korea,281
Egypt,Republic of Moldova,59
Egypt,Romania,228
Egypt,Russian Federation,7038
Egypt,Rwanda,42
Egypt,Saudi Arabia,7693
Egypt,Senegal,399
Egypt,Seychelles,19
Egypt,Sierra Leone,59
Egypt,Singapore,135
Egypt,Slovakia,59
Egypt,Somalia,19145
Egypt,South Africa,210
Egypt,Spain,390
Egypt,Sri Lanka,210
Egypt,State of Palestine,126871
Egypt,Sudan,26632
Egypt,Sweden,332
Egypt,Switzerland,1282
Egypt,Syrian Arab Republic,7129
Egypt,Tajikistan,122
Egypt,Thailand,1011
Egypt,The former Yugoslav Republic of Macedonia,113
Egypt,Tunisia,735
Egypt,Turkey,841
Egypt,Turkmenistan,45
Egypt,Uganda,82
Egypt,Ukraine,161
Egypt,United Arab Emirates,672
Egypt,United Kingdom of Great Britain and Northern Ireland,2954
Egypt,United Republic of Tanzania,137
Egypt,United States of America,5674
Egypt,Uzbekistan,106
Egypt,Venezuela (Bolivarian Republic of),32
Egypt,Yemen,5354
Egypt,Zambia,25
Egypt,Zimbabwe,32
Libya,Afghanistan,284
Libya,Albania,267
Libya,Algeria,3184
Libya,Armenia,227
Libya,Australia,664
Libya,Austria,667
Libya,Bahrain,859
Libya,Bangladesh,1109
Libya,Belarus,675
Libya,Belgium,599
Libya,Botswana,292
Libya,British Virgin Islands,227
Libya,Bonaire, Sint Eustatius and Saba,2528
Libya,Chad,763
Libya,China,2727
Libya,Comoros,3810
Libya,Congo,357
Libya,Côte d'Ivoire,529
Libya,Democratic Republic of the Congo,385
Libya,Denmark,683
Libya,Djibouti,1264
Libya,Egypt,18630
Libya,El Salvador,628
Libya,Eritrea,1759
Libya,Ethiopia,1624
Libya,Finland,737
Libya,France,4459
Libya,Germany,6235
Libya,Ghana,545
Libya,Greece,2322
Libya,Guinea-Bissau,275
Libya,Hungary,300
Libya,India,4295
Libya,Indonesia,11587
Libya,Iran (Islamic Republic of),365
Libya,Iraq,60735
Libya,Italy,5934
Libya,Japan,892
Libya,Jordan,18101
Libya,Kazakhstan,712
Libya,Kenya,298
Libya,Kuwait,9579
Libya,Lebanon,9816
Libya,Malaysia,7026
Libya,Mali,300
Libya,Mauritania,317
Libya,Monaco,245
Libya,Morocco,4346
Libya,Netherlands,1570
Libya,Niger,317
Libya,Nigeria,2528
Libya,Norway,298
Libya,Oman,1502
Libya,Pakistan,2181
Libya,Philippines,3912
Libya,Poland,602
Libya,Qatar,1255
Libya,Republic of Korea,635
Libya,Romania,529
Libya,Russian Federation,6427
Libya,Saudi Arabia,31464
Libya,Senegal,994
Libya,Sierra Leone,211
Libya,Singapore,594
Libya,Somalia,92720
Libya,South Africa,574
Libya,South Sudan,1576
Libya,Spain,644
Libya,Sri Lanka,326
Libya,State of Palestine,253786
Libya,Sudan,12797
Libya,Sweden,664
Libya,Switzerland,827
Libya,Syrian Arab Republic,24624
Libya,Tajikistan,602
Libya,Thailand,2528
Libya,Tunisia,2736
Libya,Turkey,2249
Libya,Turkmenistan,211
Libya,Ukraine,776
Libya,United Arab Emirates,2462
Libya,United Kingdom of Great Britain and Northern Ireland,6415
Libya,United Republic of Tanzania,235
Libya,United States of America,8768
Libya,Uzbekistan,334
Libya,Yemen,18963
Morocco,Algeria,10190
Morocco,Belgium,1064
Morocco,Congo,1427
Morocco,Egypt,1410
Morocco,France,26733
Morocco,Germany,1093
Morocco,Guinea,747
Morocco,Iraq,1300
Morocco,Italy,1438
Morocco,Lebanon,1024
Morocco,Libya,892
Morocco,Mauritania,1208
Morocco,Senegal,1370
Morocco,Spain,3108
Morocco,Syrian Arab Republic,1553
Morocco,Tunisia,1956
Morocco,United Kingdom of Great Britain and Northern Ireland,920
Morocco,United States of America,1386
Sudan,Central African Republic,16064
Sudan,Chad,71202
Sudan,China,1215
Sudan,Democratic Republic of the Congo,20549
Sudan,Egypt,14675
Sudan,Eritrea,132187
Sudan,Ethiopia,70677
Sudan,India,1396
Sudan,Kenya,2814
Sudan,Libya,1701
Sudan,Mali,734
Sudan,Nigeria,16214
Sudan,Somalia,86
Sudan,South Sudan,202948
Sudan,Uganda,2079
Tunisia,Algeria,8068
Tunisia,Cabo Verde,555
Tunisia,Côte d'Ivoire,504
Tunisia,Egypt,880
Tunisia,France,6669
Tunisia,Germany,1121
Tunisia,Iraq,449
Tunisia,Italy,1705
Tunisia,Libya,7062
Tunisia,Mali,771
Tunisia,Mauritania,409
Tunisia,Morocco,4480
Tunisia,Nigeria,420
Tunisia,Senegal,317
Tunisia,State of Palestine,414
Tunisia,Syrian Arab Republic,829
Tunisia,United States of America,470
Western Sahara,Algeria,68
Western Sahara,France,233
Western Sahara,Guinea,828
Western Sahara,Guinea-Bissau,874
Western Sahara,Mali,324
Western Sahara,Mauritania,471
Western Sahara,Senegal,1514
Botswana,Angola,2672
Botswana,Australia,337
Botswana,Bonaire, Sint Eustatius and Saba,314
Botswana,China,3184
Botswana,Democratic Republic of the Congo,2552
Botswana,Denmark,297
Botswana,Germany,968
Botswana,India,7165
Botswana,Ireland,539
Botswana,Italy,470
Botswana,Kenya,538
Botswana,Lesotho,2452
Botswana,Madagascar,482
Botswana,Malawi,3459
Botswana,Mauritius,1416
Botswana,Mozambique,892
Botswana,Namibia,1389
Botswana,Netherlands,548
Botswana,Nigeria,560
Botswana,Norway,337
Botswana,Pakistan,527
Botswana,Portugal,400
Botswana,Seychelles,200
Botswana,South Africa,28048
Botswana,Sri Lanka,1449
Botswana,Swaziland,524
Botswana,Sweden,376
Botswana,Uganda,1238
Botswana,United Kingdom of Great Britain and Northern Ireland,6220
Botswana,United Republic of Tanzania,2233
Botswana,United States of America,961
Botswana,Zambia,9659
Botswana,Zimbabwe,23803
Lesotho,Brazil,106
Lesotho,China,118
Lesotho,Ghana,87
Lesotho,India,223
Lesotho,Malawi,36
Lesotho,Mozambique,23
Lesotho,Namibia,4
Lesotho,Pakistan,223
Lesotho,South Africa,2544
Lesotho,Swaziland,36
Lesotho,Uganda,134
Lesotho,United Republic of Tanzania,83
Lesotho,United States of America,87
Lesotho,Zambia,68
Lesotho,Zimbabwe,68
Namibia,Afghanistan,43
Namibia,Algeria,484
Namibia,Angola,37063
Namibia,Antigua and Barbuda,469
Namibia,Argentina,50
Namibia,Armenia,63
Namibia,Australia,536
Namibia,Austria,609
Namibia,Bahamas,50
Namibia,Bahrain,49
Namibia,Bangladesh,32
Namibia,Belgium,184
Namibia,Benin,156
Namibia,Brazil,658
Namibia,British Virgin Islands,534
Namibia,Burkina Faso,30
Namibia,Burundi,71
Namibia,Cambodia,389
Namibia,Cabo Verde,118
Namibia,Bonaire, Sint Eustatius and Saba,188
Namibia,Chile,32
Namibia,China,3106
Namibia,Congo,1117
Namibia,Côte d'Ivoire,30
Namibia,Cuba,680
Namibia,Czech Republic,76
Namibia,Democratic People's Republic of Korea,101
Namibia,Democratic Republic of the Congo,3183
Namibia,Denmark,113
Namibia,Egypt,174
Namibia,Ethiopia,211
Namibia,Finland,79
Namibia,France,536
Namibia,Gambia,86
Namibia,Germany,9063
Namibia,Ghana,143
Namibia,Guinea,53
Namibia,India,674
Namibia,Indonesia,90
Namibia,Iran (Islamic Republic of),30
Namibia,Ireland,60
Namibia,Israel,108
Namibia,Italy,824
Namibia,Japan,113
Namibia,Kenya,1110
Namibia,Lebanon,46
Namibia,Lesotho,126
Namibia,Libya,35
Namibia,Luxembourg,43
Namibia,Malawi,369
Namibia,Mauritius,106
Namibia,Mozambique,137
Namibia,Netherlands,516
Namibia,New Zealand,50
Namibia,Nigeria,982
Namibia,Norway,53
Namibia,Pakistan,166
Namibia,Philippines,246
Namibia,Poland,168
Namibia,Portugal,433
Namibia,Republic of Korea,35
Namibia,Romania,30
Namibia,Russian Federation,454
Namibia,Rwanda,358
Namibia,Senegal,30
Namibia,Seychelles,56
Namibia,Sierra Leone,163
Namibia,Somalia,93
Namibia,South Africa,8481
Namibia,Spain,344
Namibia,Sudan,199
Namibia,Swaziland,196
Namibia,Sweden,101
Namibia,Switzerland,428
Namibia,Thailand,74
Namibia,Turkey,35
Namibia,Uganda,481
Namibia,Ukraine,257
Namibia,United Kingdom of Great Britain and Northern Ireland,1718
Namibia,United Republic of Tanzania,1098
Namibia,United States of America,1050
Namibia,Zambia,3024
Namibia,Zimbabwe,14449
South Africa,Afghanistan,69
South Africa,Albania,129
South Africa,Algeria,355
South Africa,Angola,29562
South Africa,Argentina,1876
South Africa,Australia,5698
South Africa,Austria,4264
South Africa,Bahrain,131
South Africa,Bangladesh,2107
South Africa,Barbados,24
South Africa,Belarus,191
South Africa,Belgium,6287
South Africa,Benin,154
South Africa,Bermuda,49
South Africa,Bolivia (Plurinational State of),129
South Africa,Botswana,151
South Africa,Brazil,33112
South Africa,British Virgin Islands,2321
South Africa,Brunei Darussalam,19
South Africa,Bulgaria,19
South Africa,Burkina Faso,3112
South Africa,Cambodia,4729
South Africa,Cabo Verde,2036
South Africa,Bonaire, Sint Eustatius and Saba,4503
South Africa,Central African Republic,95
South Africa,Chile,529
South Africa,China,18522
South Africa,China, Hong Kong Special Administrative Region,1278
South Africa,Colombia,469
South Africa,Comoros,156
South Africa,Congo,16438
South Africa,Côte d'Ivoire,917
South Africa,Croatia,792
South Africa,Cuba,1213
South Africa,Cyprus,3887
South Africa,Czech Republic,1578
South Africa,Democratic People's Republic of Korea,110
South Africa,Democratic Republic of the Congo,23474
South Africa,Denmark,2000
South Africa,Egypt,3654
South Africa,Eritrea,945
South Africa,Estonia,116
South Africa,Ethiopia,6600
South Africa,Fiji,38
South Africa,Finland,513
South Africa,France,5989
South Africa,Gabon,248
South Africa,Germany,44843
South Africa,Ghana,5272
South Africa,Gibraltar,43
South Africa,Greece,7141
South Africa,Guatemala,72
South Africa,Guinea,63
South Africa,Guinea-Bissau,24
South Africa,Guyana,45
South Africa,Iceland,26
South Africa,India,31848
South Africa,Indonesia,964
South Africa,Iran (Islamic Republic of),552
South Africa,Iraq,120
South Africa,Ireland,9571
South Africa,Israel,3534
South Africa,Italy,18441
South Africa,Jamaica,154
South Africa,Japan,1385
South Africa,Jordan,45
South Africa,Kenya,13039
South Africa,Kuwait,72
South Africa,Kyrgyzstan,22
South Africa,Lao People's Democratic Republic,26
South Africa,Latvia,332
South Africa,Lebanon,733
South Africa,Lesotho,213763
South Africa,Liberia,518
South Africa,Libya,129
South Africa,Lithuania,319
South Africa,Luxembourg,22
South Africa,Madagascar,341
South Africa,Malawi,48994
South Africa,Malaysia,720
South Africa,Maldives,45
South Africa,Mali,85
South Africa,Malta,271
South Africa,Mauritius,6724
South Africa,Mexico,227
South Africa,Monaco,21
South Africa,Morocco,861
South Africa,Mozambique,379605
South Africa,Myanmar,172
South Africa,Namibia,83326
South Africa,Nauru,19
South Africa,Nepal,101
South Africa,Netherlands,15904
South Africa,New Zealand,2474
South Africa,Nicaragua,87
South Africa,Niger,17
South Africa,Nigeria,13083
South Africa,Niue,17
South Africa,Northern Mariana Islands,22
South Africa,Norway,882
South Africa,Oman,26
South Africa,Pakistan,7909
South Africa,Panama,47
South Africa,Papua New Guinea,47
South Africa,Paraguay,95
South Africa,Peru,162
South Africa,Philippines,1186
South Africa,Poland,7800
South Africa,Portugal,35850
South Africa,Republic of Korea,1318
South Africa,Réunion,265
South Africa,Romania,1280
South Africa,Russian Federation,2686
South Africa,Rwanda,3426
South Africa,Saint Helena,179
South Africa,Saint Kitts and Nevis,21
South Africa,Saudi Arabia,490
South Africa,Senegal,2178
South Africa,Serbia,3054
South Africa,Seychelles,527
South Africa,Sierra Leone,377
South Africa,Singapore,720
South Africa,Slovakia,334
South Africa,Somalia,21729
South Africa,Spain,1153
South Africa,Sri Lanka,781
South Africa,State of Palestine,81
South Africa,Sudan,2348
South Africa,Swaziland,59752
South Africa,Sweden,192
South Africa,Switzerland,1555
South Africa,Syrian Arab Republic,93
South Africa,Thailand,693
South Africa,The former Yugoslav Republic of Macedonia,97
South Africa,Trinidad and Tobago,21
South Africa,Tunisia,91
South Africa,Turkey,894
South Africa,Uganda,3916
South Africa,Ukraine,3012
South Africa,United Arab Emirates,143
South Africa,United Kingdom of Great Britain and Northern Ireland,236904
South Africa,United Republic of Tanzania,7535
South Africa,United States of America,13339
South Africa,Uruguay,91
South Africa,Venezuela (Bolivarian Republic of),238
South Africa,Viet Nam,128
South Africa,Yemen,69
South Africa,Zambia,44090
South Africa,Zimbabwe,324228
Swaziland,Angola,106
Swaziland,Australia,44
Swaziland,Brazil,54
Swaziland,Cambodia,190
Swaziland,Bonaire, Sint Eustatius and Saba,19
Swaziland,Congo,62
Swaziland,Democratic Republic of the Congo,141
Swaziland,Ethiopia,26
Swaziland,Lesotho,198
Swaziland,Liberia,40
Swaziland,Mozambique,10841
Swaziland,New Zealand,21
Swaziland,Rwanda,121
Swaziland,Somalia,77
Swaziland,South Africa,12067
Swaziland,Uganda,48
Swaziland,United States of America,228
