country_dest,country_origin,total
Burundi,Belgium,497
Burundi,Democratic Republic of the Congo,137611
Burundi,France,248
Burundi,Kenya,847
Burundi,Rwanda,52794
Burundi,Uganda,731
Burundi,United Republic of Tanzania,22974
Comoros,France,486
Comoros,Kenya,77
Comoros,Madagascar,9689
Comoros,Réunion,857
Comoros,United Republic of Tanzania,146
Djibouti,Ethiopia,11141
Djibouti,Somalia,84118
Djibouti,Yemen,240
Eritrea,Angola,341
Eritrea,Cambodia,1029
Eritrea,China,133
Eritrea,Comoros,189
Eritrea,Democratic Republic of the Congo,1659
Eritrea,Ethiopia,107
Eritrea,France,429
Eritrea,India,117
Eritrea,Kenya,345
Eritrea,Malawi,759
Eritrea,Mozambique,1088
Eritrea,Rwanda,459
Eritrea,Somalia,2415
Eritrea,South Africa,120
Eritrea,South Sudan,1465
Eritrea,Sudan,205
Eritrea,Uganda,1498
Eritrea,United Kingdom of Great Britain and Northern Ireland,56
Eritrea,United Republic of Tanzania,517
Eritrea,Zambia,237
Eritrea,Zimbabwe,319
Ethiopia,Cambodia,32
Ethiopia,Democratic Republic of the Congo,83
Ethiopia,Djibouti,3025
Ethiopia,Eritrea,6354
Ethiopia,Rwanda,122
Ethiopia,Somalia,361609
Ethiopia,South Sudan,122021
Ethiopia,Sudan,17102
Ethiopia,Uganda,178
Ethiopia,Yemen,118
Kenya,Cambodia,4256
Kenya,Democratic Republic of the Congo,5531
Kenya,Eritrea,1389
Kenya,Ethiopia,24091
Kenya,Mozambique,589
Kenya,Namibia,67
Kenya,Rwanda,6201
Kenya,Somalia,398753
Kenya,South Africa,110
Kenya,South Sudan,53218
Kenya,Sudan,7459
Kenya,Uganda,326978
Kenya,United Republic of Tanzania,39120
Madagascar,China,1784
Madagascar,Comoros,9876
Madagascar,France,8066
Madagascar,India,1425
Malawi,Cambodia,5314
Malawi,Congo,1413
Malawi,Democratic Republic of the Congo,2237
Malawi,India,2419
Malawi,Mozambique,54826
Malawi,Rwanda,4631
Malawi,Somalia,56
Malawi,South Africa,8272
Malawi,United Kingdom of Great Britain and Northern Ireland,1478
Malawi,United Republic of Tanzania,9620
Malawi,Zambia,42865
Malawi,Zimbabwe,37189
Mauritius,Bangladesh,7235
Mauritius,Belgium,103
Mauritius,Bonaire, Sint Eustatius and Saba,32
Mauritius,China,2564
