country_dest,country_origin,total
Burundi,Belgium,621
Burundi,Democratic Republic of the Congo,41447
Burundi,France,310
Burundi,Kenya,216
Burundi,Rwanda,160197
Burundi,Uganda,1546
Burundi,United Republic of Tanzania,9780
Comoros,France,538
Comoros,Kenya,86
Comoros,Madagascar,10701
Comoros,Réunion,948
Comoros,United Republic of Tanzania,162
Djibouti,Ethiopia,10943
Djibouti,Somalia,82625
Djibouti,Yemen,236
Eritrea,Angola,433
Eritrea,Cambodia,1141
Eritrea,China,53
Eritrea,Comoros,60
Eritrea,Democratic Republic of the Congo,816
Eritrea,Ethiopia,687
Eritrea,France,159
Eritrea,India,54
Eritrea,Kenya,202
Eritrea,Malawi,228
Eritrea,Mozambique,2218
Eritrea,Rwanda,703
Eritrea,Somalia,1607
Eritrea,South Africa,143
Eritrea,South Sudan,1109
Eritrea,Sudan,155
Eritrea,Uganda,682
Eritrea,United Kingdom of Great Britain and Northern Ireland,38
Eritrea,United Republic of Tanzania,296
Eritrea,Zambia,121
Eritrea,Zimbabwe,125
Ethiopia,Cambodia,25
Ethiopia,Democratic Republic of the Congo,63
Ethiopia,Djibouti,1901
Ethiopia,Eritrea,34949
Ethiopia,Rwanda,93
Ethiopia,Somalia,459615
Ethiopia,South Sudan,235512
Ethiopia,Sudan,33008
Ethiopia,Uganda,135
Ethiopia,Yemen,89
Kenya,Cambodia,147
Kenya,Democratic Republic of the Congo,391
Kenya,Eritrea,66
Kenya,Ethiopia,29521
Kenya,Mozambique,980
Kenya,Namibia,112
Kenya,Rwanda,3970
Kenya,Somalia,103743
Kenya,South Africa,185
Kenya,South Sudan,53996
Kenya,Sudan,7568
Kenya,Uganda,237964
Kenya,United Republic of Tanzania,73119
Madagascar,China,1312
Madagascar,Comoros,7242
Madagascar,France,5908
Madagascar,India,1037
Malawi,Cambodia,5896
Malawi,Congo,1567
Malawi,Democratic Republic of the Congo,2481
Malawi,India,2683
Malawi,Mozambique,60845
Malawi,Rwanda,5138
Malawi,Somalia,61
Malawi,South Africa,9179
Malawi,United Kingdom of Great Britain and Northern Ireland,1639
Malawi,United Republic of Tanzania,10676
Malawi,Zambia,47571
Malawi,Zimbabwe,41271
Mauritius,Bangladesh,150
Mauritius,Belgium,35
Mauritius,Bonaire, Sint Eustatius and Saba,27
Mauritius,China,3273
Mauritius,China, Hong Kong Special Administrative Region,45
Mauritius,France,696
Mauritius,Germany,70
Mauritius,India,1483
Mauritius,Ireland,14
Mauritius,Italy,56
Mauritius,Japan,14
Mauritius,Madagascar,242
Mauritius,Malaysia,33
Mauritius,Pakistan,3
Mauritius,Russian Federation,28
Mauritius,Seychelles,39
Mauritius,South Africa,192
Mauritius,Spain,7
Mauritius,Sri Lanka,19
Mauritius,Switzerland,30
Mauritius,United Kingdom of Great Britain and Northern Ireland,450
Mauritius,United States of America,30
Mayotte,Comoros,20154
Mayotte,France,2791
Mayotte,Madagascar,2061
Mozambique,Cameroon,4567
Mozambique,Democratic Republic of the Congo,719
Mozambique,India,1653
Mozambique,Lesotho,5182
Mozambique,Malawi,19997
Mozambique,Pakistan,1122
Mozambique,Portugal,7215
Mozambique,South Africa,29502
Mozambique,United Republic of Tanzania,4571
Mozambique,Zambia,2606
Mozambique,Zimbabwe,13955
Réunion,Comoros,952
Réunion,France,50738
Réunion,Madagascar,7218
Réunion,Mauritius,2181
Réunion,Mayotte,3893
Rwanda,Cambodia,39410
Rwanda,Democratic Republic of the Congo,93770
Rwanda,Kenya,1455
Rwanda,Uganda,51986
Rwanda,United Republic of Tanzania,24121
Seychelles,Australia,59
Seychelles,Bangladesh,14
Seychelles,Belgium,26
Seychelles,China,80
Seychelles,Cuba,26
Seychelles,France,167
Seychelles,Germany,48
Seychelles,India,1651
Seychelles,Indonesia,114
Seychelles,Italy,29
Seychelles,Kenya,178
Seychelles,Madagascar,279
Seychelles,Maldives,1
Seychelles,Mauritius,383
Seychelles,Nepal,33
Seychelles,Nigeria,32
Seychelles,Pakistan,17
Seychelles,Philippines,229
Seychelles,Russian Federation,45
Seychelles,Somalia,13
Seychelles,South Africa,224
Seychelles,Spain,10
Seychelles,Sri Lanka,391
Seychelles,Thailand,237
Seychelles,Uganda,5
Seychelles,United Kingdom of Great Britain and Northern Ireland,223
Somalia,Eritrea,0
Somalia,Ethiopia,18044
South Sudan,Central African Republic,0
South Sudan,Chad,0
South Sudan,Democratic Republic of the Congo,0
South Sudan,Egypt,0
South Sudan,Eritrea,0
South Sudan,Ethiopia,0
South Sudan,India,0
South Sudan,Kenya,0
South Sudan,Libya,0
South Sudan,Mali,0
South Sudan,Nigeria,0
South Sudan,Sudan,0
South Sudan,Uganda,0
Uganda,Bangladesh,49
Uganda,Belgium,44
Uganda,Cambodia,49666
Uganda,Bonaire, Sint Eustatius and Saba,99
Uganda,China,139
Uganda,Democratic People's Republic of Korea,51
Uganda,Democratic Republic of the Congo,77724
Uganda,Denmark,172
Uganda,Eritrea,0
Uganda,Ethiopia,165
Uganda,France,245
Uganda,Germany,229
Uganda,Greece,40
Uganda,India,1334
Uganda,Italy,396
Uganda,Japan,69
Uganda,Kenya,32852
Uganda,Mozambique,229
Uganda,Netherlands,211
Uganda,Pakistan,220
Uganda,Republic of Korea,59
Uganda,Russian Federation,299
Uganda,Rwanda,141160
Uganda,Somalia,1034
Uganda,Spain,59
Uganda,Sudan,273062
Uganda,United Kingdom of Great Britain and Northern Ireland,1052
Uganda,United Republic of Tanzania,32059
Uganda,United States of America,494
United Republic of Tanzania,Angola,958
United Republic of Tanzania,Brazil,108
United Republic of Tanzania,Cambodia,310644
United Republic of Tanzania,Bonaire, Sint Eustatius and Saba,234
United Republic of Tanzania,Comoros,458
United Republic of Tanzania,Congo,22000
United Republic of Tanzania,Democratic Republic of the Congo,21834
United Republic of Tanzania,Germany,769
United Republic of Tanzania,India,6308
United Republic of Tanzania,Italy,457
United Republic of Tanzania,Kenya,31740
United Republic of Tanzania,Lesotho,106
United Republic of Tanzania,Malawi,7121
United Republic of Tanzania,Mauritius,151
United Republic of Tanzania,Mozambique,57995
United Republic of Tanzania,Namibia,494
United Republic of Tanzania,Pakistan,517
United Republic of Tanzania,Rwanda,600656
United Republic of Tanzania,Seychelles,286
United Republic of Tanzania,Somalia,4247
United Republic of Tanzania,South Africa,547
United Republic of Tanzania,Swaziland,69
United Republic of Tanzania,Uganda,15546
United Republic of Tanzania,United Kingdom of Great Britain and Northern Ireland,866
United Republic of Tanzania,United States of America,1027
United Republic of Tanzania,Zambia,14501
United Republic of Tanzania,Zimbabwe,652
Zambia,Angola,141001
Zambia,Australia,81
Zambia,Brazil,228
Zambia,Cambodia,261
Zambia,Cabo Verde,13
Zambia,Bonaire, Sint Eustatius and Saba,188
Zambia,China,128
Zambia,Congo,456
Zambia,Democratic Republic of the Congo,31525
Zambia,Egypt,139
Zambia,France,59
Zambia,Germany,220
Zambia,Ghana,283
Zambia,India,3854
Zambia,Japan,137
Zambia,Kenya,328
Zambia,Malawi,12382
Zambia,Mali,206
Zambia,Mozambique,3127
Zambia,Namibia,473
Zambia,Nigeria,148
Zambia,Rwanda,2285
Zambia,Senegal,138
Zambia,South Africa,2660
Zambia,Uganda,359
Zambia,United Kingdom of Great Britain and Northern Ireland,1434
Zambia,United Republic of Tanzania,6172
Zambia,United States of America,460
Zambia,Zimbabwe,23707
Zimbabwe,Brazil,2924
Zimbabwe,Malawi,67945
Zimbabwe,Mozambique,266322
Zimbabwe,South Africa,15313
Zimbabwe,United Kingdom of Great Britain and Northern Ireland,18132
Zimbabwe,Zambia,22815
Angola,Cameroon,4147
Angola,Chad,14
Angola,Congo,477
Angola,Côte d'Ivoire,6
Angola,Democratic Republic of the Congo,14957
Angola,Guinea,152
Angola,Mozambique,113
Angola,Namibia,401
Angola,Portugal,6156
Angola,Rwanda,115
Angola,Sao Tome and Principe,3617
Angola,South Africa,2832
Angola,Zambia,139
Cameroon,Angola,0
Cameroon,Chad,88874
Cameroon,France,10986
Cameroon,Nigeria,97818
Central African Republic,Australia,13
Central African Republic,Austria,27
Central African Republic,British Virgin Islands,0
Central African Republic,Bonaire, Sint Eustatius and Saba,157
Central African Republic,Chad,13169
Central African Republic,Cyprus,8
Central African Republic,Democratic Republic of the Congo,20510
Central African Republic,Denmark,2
Central African Republic,Egypt,65
Central African Republic,France,13090
Central African Republic,Ireland,9
Central African Republic,Italy,56
Central African Republic,Mali,422
Central African Republic,Netherlands,36
Central African Republic,Russian Federation,193
Central African Republic,Sao Tome and Principe,104
Central African Republic,Slovenia,42
Central African Republic,South Africa,84
Central African Republic,South Sudan,0
Central African Republic,Sudan,27015
Central African Republic,Sweden,15
Central African Republic,Switzerland,193
Central African Republic,Togo,9
Central African Republic,Turkey,8
Central African Republic,United States of America,683
Chad,Cabo Verde,33673
Chad,Central African Republic,8765
Chad,Congo,777
Chad,Democratic Republic of the Congo,200
Chad,France,963
Chad,Gabon,318
Chad,Libya,1191
Chad,Niger,2840
Chad,Nigeria,16104
Chad,Sudan,19071
Congo,Angola,18270
Congo,Benin,5250
Congo,Cabo Verde,4003
Congo,Central African Republic,11844
Congo,Chad,3743
Congo,China,327
Congo,Cuba,190
Congo,Democratic Republic of the Congo,110720
Congo,Equatorial Guinea,560
Congo,France,6041
Congo,Gabon,1121
Congo,Germany,205
Congo,Lebanon,414
Congo,Mali,9493
Congo,Mauritania,1115
Congo,Portugal,511
Congo,Russian Federation,913
Congo,Rwanda,5503
Congo,Senegal,4436
Congo,Togo,863
Congo,United States of America,59
Democratic Republic of the Congo,Angola,276402
Democratic Republic of the Congo,Cambodia,128458
Democratic Republic of the Congo,Congo,5912
Democratic Republic of the Congo,Rwanda,1132791
Democratic Republic of the Congo,South Sudan,137306
Democratic Republic of the Congo,Sudan,15271
Democratic Republic of the Congo,Uganda,19780
Equatorial Guinea,Cabo Verde,268
Equatorial Guinea,France,1529
Equatorial Guinea,Gabon,86
Equatorial Guinea,Nigeria,121
Equatorial Guinea,Sao Tome and Principe,501
Equatorial Guinea,Spain,429
Gabon,Algeria,41
Gabon,Angola,408
Gabon,Belgium,184
Gabon,Benin,19261
Gabon,Burundi,2580
Gabon,Cambodia,62
Gabon,Cabo Verde,18690
Gabon,Bonaire, Sint Eustatius and Saba,108
Gabon,Chad,1669
Gabon,China,128
Gabon,Congo,6021
Gabon,Côte d'Ivoire,1252
Gabon,Democratic People's Republic of Korea,60
Gabon,Democratic Republic of the Congo,3287
Gabon,Equatorial Guinea,32079
Gabon,France,5930
Gabon,Germany,33
Gabon,Ghana,2348
Gabon,Guinea,1837
Gabon,Israel,6
Gabon,Japan,12
Gabon,Lebanon,923
Gabon,Mali,20352
Gabon,Morocco,264
Gabon,Nigeria,8823
Gabon,Republic of Korea,72
Gabon,Rwanda,78
Gabon,Sao Tome and Principe,2401
Gabon,Senegal,11255
Gabon,South Africa,5
Gabon,Syrian Arab Republic,11
Gabon,Togo,8493
Gabon,Tunisia,83
Gabon,United States of America,202
Sao Tome and Principe,Angola,556
Sao Tome and Principe,Cameroon,3343
Sao Tome and Principe,Equatorial Guinea,286
Sao Tome and Principe,Gabon,221
Sao Tome and Principe,Mozambique,228
Sao Tome and Principe,Portugal,212
Algeria,France,1321
Algeria,Germany,3661
Algeria,Indonesia,1223
Algeria,Iraq,4249
Algeria,Italy,1942
Algeria,Jordan,2272
Algeria,Kuwait,1308
Algeria,Lebanon,1395
Algeria,Libya,2154
Algeria,Malaysia,1264
Algeria,Russian Federation,3545
Algeria,Saudi Arabia,3497
Algeria,Somalia,6248
Algeria,State of Palestine,33836
Algeria,Sudan,5362
Algeria,Syrian Arab Republic,3312
Algeria,United Kingdom of Great Britain and Northern Ireland,1430
Algeria,United States of America,2802
Algeria,Western Sahara,166903
Algeria,Yemen,2480
Egypt,Afghanistan,188
Egypt,Albania,96
Egypt,Algeria,573
Egypt,Angola,21
Egypt,Antigua and Barbuda,13
Egypt,Argentina,243
Egypt,Armenia,143
Egypt,Australia,418
Egypt,Austria,557
Egypt,Azerbaijan,23
Egypt,Bahamas,11
Egypt,Bahrain,325
Egypt,Bangladesh,143
Egypt,Belarus,216
Egypt,Belgium,521
Egypt,Benin,35
Egypt,Botswana,33
Egypt,British Virgin Islands,112
Egypt,Bulgaria,55
Egypt,Burkina Faso,58
Egypt,Burundi,55
Egypt,Cambodia,36
Egypt,Cabo Verde,109
Egypt,Bonaire, Sint Eustatius and Saba,382
Egypt,Central African Republic,45
Egypt,Chad,264
Egypt,Chile,20
Egypt,China,501
Egypt,Colombia,52
Egypt,Comoros,527
Egypt,Congo,39
